id,name,description
e24d5c40-3574-ad2d-0e49-2941e73894ba,Food,Food from MUJI
49c637b2-9472-b72b-d61d-2e7746ddd16e,Makeup Organizers,Makeup Organizers from MUJI
3cb03559-21a9-2fd5-77fc-163de5c2b186,Desk Accessories,Desk Accessories from MUJI
19417ae8-ee9f-68ac-13ca-22ffcffc072a,Bathroom Accessories,Bathroom Accessories from MUJI
a8414430-b8eb-1c9d-d897-af586cf5cfbf,Hats,Hats from MUJI
80254623-3283-49a9-f114-c8ff78ee3c37,Duvets & Comforters,Duvets & Comforters from MUJI
c5d45832-85d8-b0a2-95a1-bc9f6a11f666,Women's Dresses,Women's Dresses from MUJI
a4381e6b-90a6-63fd-6675-ba1e37ee4459,Calendars & Planners,Calendars & Planners from MUJI
852be0d3-8bcb-080e-cb2e-6a04b2939e7c,Kitchen Organizers,Kitchen Organizers from MUJI
d72a40bf-678e-5d37-bd39-3c885afbc0b1,Wooden Storage,Wooden Storage from MUJI
291353a7-802c-b895-54bc-9396da2b2c7c,Bamboo Storage,Bamboo Storage from MUJI
6bf20b58-0015-465a-e4d7-f3bb8f423d02,Tableware,Tableware from MUJI
ebfd3a1d-e97a-24f5-e2d6-7aa03e65bf1f,Polypropylene Storage Box,Polypropylene Storage Box from MUJI
95ce936e-6109-8164-f951-fc99e2ea0063,Candles,Candles from MUJI
8eda25ac-321d-37e4-c5f4-7dba78a05f9b,Women's Innerwear,Women's Innerwear from MUJI
56286183-6552-ccf6-e02a-48f4a6c4803a,Women's Tops,Women's Tops from MUJI
8631bdc2-b813-7d83-ceee-b86239b1efd2,LABO,LABO from MUJI
5dcf703f-7ba4-efc4-f49c-45e516891304,Men's Tops,Men's Tops from MUJI
8bac9fb8-2084-7e4d-0b0c-6f97d43f20de,Men's Bottoms,Men's Bottoms from MUJI
b1686334-dc9d-7191-542a-1e392eb23f04,Men's Innerwear,Men's Innerwear from MUJI
0bc61390-fe38-0ff8-4b11-0369cbe31c03,Women's Loungewear,Women's Loungewear from MUJI
2ec54c0b-69b2-22d3-7245-41b76fc3ba77,Hangers,Hangers from MUJI
567286f5-3650-346f-1053-e65b72ea6106,Pens,Pens from MUJI
1c2788fe-48c0-c1c5-ff83-60bfa53ad9d5,Kitchen Goods,Kitchen Goods from MUJI
501a7ab3-91c9-86c2-310e-9f9e75e2c114,Women's Bottoms,Women's Bottoms from MUJI
f1c61b56-28bc-a6c7-35d6-f94c02d7594c,Kitchen Appliances,Kitchen Appliances from MUJI
3db1f039-9b60-ba75-64aa-1ec90a18f231,Stickynotes & Memopads,Stickynotes & Memopads from MUJI
2ea239ed-7bef-f98d-6c28-a447c5ca65b7,Pencils & Erasers,Pencils & Erasers from MUJI
307bb084-d2c7-375e-c0b8-10327cda549e,Makeup Accessories,Makeup Accessories from MUJI
3ede25d9-1c2d-d9b4-6b2b-20ebca83d035,Looseleaf,Looseleaf from MUJI
de74aebf-dce8-7c61-c6c0-dfe4a7d2bfd3,Notebook,Notebook from MUJI
f35c0392-067c-285f-31ef-322df5dc744b,Towels,Towels from MUJI
079aa4a9-6b99-d845-bf8c-1bf6710df4e6,Housekeeping Goods,Housekeeping Goods from MUJI
dfcecffe-c565-663b-f2a8-915378a78ef8,Bed Pads,Bed Pads from MUJI
