id,product_hash,category_id,name,slug,description,price,available_item_count,metadata_json
72eddff9-f726-59b9-cbb7-8e5f6f74f4d4,d449be74d12cd723ce03203667631daa561ea8620a744e931b5d072a24889908,54c824eb-417a-a1dc-8071-216dc5a6f15c,Dell XPS 16 Laptop,dell-dell-xps-16-laptop,Premium 16-inch laptop with Intel Core Ultra and OLED display.,1499.99,56,{}
fc13fd68-d9c6-338e-ee6f-0582786806be,f76a2927bb418c6c87952139ccd9fdfbf23bc85a6aaada8d20b8c0f72869c059,54c824eb-417a-a1dc-8071-216dc5a6f15c,Dell XPS 14 Laptop,dell-dell-xps-14-laptop,Compact 14-inch laptop with stunning display.,1299.99,14,{}
0bab4d15-a2db-7b13-4c6b-5950ff83444c,9863ea638cf5abdf1f417f1f3640e9e193d37fa2b51a3888607f51b9dfe5cf13,54c824eb-417a-a1dc-8071-216dc5a6f15c,Dell Inspiron 16 Plus,dell-dell-inspiron-16-plus,Versatile 16-inch laptop for productivity.,899.99,93,{}
b98d8b4f-447f-5449-a48a-f31a24482fe6,da6aae9cbfed76f7166d92596fec46d0fc4f4315682e81b283de97c95b5bc175,54c824eb-417a-a1dc-8071-216dc5a6f15c,Dell Inspiron 15 Laptop,dell-dell-inspiron-15-laptop,Reliable everyday 15-inch laptop.,549.99,22,{}
7303e932-1ff2-54de-2079-7a47e5dd2ac0,70fd52e6f5702265ee967021d36843d1e4713972a25748e0b2408e562f9ca8b4,54c824eb-417a-a1dc-8071-216dc5a6f15c,Dell Latitude 7450,dell-dell-latitude-7450,Business-class 14-inch ultrabook.,1199.99,47,{}
8c47b94f-feeb-e1c9-e8c8-7f262d0cd17c,2e3dab400101b3b4d0cfc0dd282e1b1057a85c988b10ddfaf49728a45eed36e9,54c824eb-417a-a1dc-8071-216dc5a6f15c,Dell Precision 5680 Workstation,dell-dell-precision-5680-workstation,Mobile workstation for professionals.,2199.99,20,{}
e03c9830-f600-809d-86cb-7b880df7da85,8cc38e10f5d329a64f32167cf3e0cf0546402108775b2bdd19a1dab791ab5254,54c824eb-417a-a1dc-8071-216dc5a6f15c,Dell Alienware m18 Gaming Laptop,dell-dell-alienware-m18-gaming-laptop,High-performance gaming laptop with 18-inch display.,2499.99,14,{}
db6fd615-28c8-8742-2507-6a10be7baad4,a98153cb54ef2c010055c66dbf6e20506a53b4f0b24e342df53f0ffc283cd661,54c824eb-417a-a1dc-8071-216dc5a6f15c,Dell Alienware x16 Gaming Laptop,dell-dell-alienware-x16-gaming-laptop,Thin gaming laptop with premium build.,1999.99,33,{}
f5d1171a-8138-fd83-d8ee-4feee8a2fd34,e9c62cc073488aad82070d90e3635d99b158a207fb7bf3b953f8b5444cfc11ff,54c824eb-417a-a1dc-8071-216dc5a6f15c,Dell G16 Gaming Laptop,dell-dell-g16-gaming-laptop,Mid-range gaming laptop with RTX graphics.,1199.99,89,{}
8e7f2ff4-ea70-822f-96eb-bb576162dbc3,b978fc7a9091a6da47e5960803a1ff25ed2f0b6b7d536d012c2e37df78435324,54c824eb-417a-a1dc-8071-216dc5a6f15c,Dell Chromebook 3110,dell-dell-chromebook-3110,Affordable Chromebook for education.,249.99,35,{}
a81f8eac-ceef-e58f-a888-216b6189d389,57c391f06fa21ccaf7e9d925a2db4ef71da9d3e5e490d8b6dcffae71111d36e2,d85dd996-ed7e-9472-ba89-07ccc4c4a6a6,Dell XPS Desktop,dell-dell-xps-desktop,Premium desktop with clean minimalist design.,999.99,39,{}
05d01b01-ff31-cd11-8b22-5a346ee0c40e,85b3a6ee94f71e210ac16dc80ad2d014a58832684c6f5b9378d3a74284a4e690,d85dd996-ed7e-9472-ba89-07ccc4c4a6a6,Dell Inspiron Desktop,dell-dell-inspiron-desktop,Family-friendly desktop for everyday use.,599.99,47,{}
275ffdba-2f0b-c650-2ac7-ce1626310501,1587f75bc769cdd60650d15fe9cd04969eea685ddd1fdd97750fc648622b5e9e,d85dd996-ed7e-9472-ba89-07ccc4c4a6a6,Dell OptiPlex Micro,dell-dell-optiplex-micro,Compact business desktop for office setups.,799.99,90,{}
e12e1231-32ed-512e-54fe-d87236d9f193,a144e30b848bf63044642c07afd27c4c4cf7cf5101e569ca247f5e87380f0bec,d85dd996-ed7e-9472-ba89-07ccc4c4a6a6,Dell Precision 3680 Tower,dell-dell-precision-3680-tower,Powerful tower workstation for CAD and rendering.,1599.99,25,{}
844b82f0-bb13-52c4-d34b-72a676939e87,80bfa76a3f03b9f17106d07b9c92d1e1e2a78446197e7a8d4a217bb29efd0081,d85dd996-ed7e-9472-ba89-07ccc4c4a6a6,Dell Alienware Aurora R16,dell-dell-alienware-aurora-r16,Gaming desktop with latest components.,1799.99,68,{}
420c95d7-bad5-d27b-0dac-4f0ffa4323ca,02ec807f6d81f6cbc789c14dd2812032f4c39f20ecfd27ba98217fe21aeec424,a9590b19-ab4c-1858-a18f-aa9969a878da,Dell UltraSharp U2724D,dell-dell-ultrasharp-u2724d,27-inch QHD IPS monitor with USB-C hub.,549.99,19,{}
df089254-fdde-6c30-c120-66c4d200be32,50479a394429fd11143bbffffef860f41254a81e96216d0764f5da1608fb78c3,a9590b19-ab4c-1858-a18f-aa9969a878da,Dell UltraSharp U3224KB,dell-dell-ultrasharp-u3224kb,32-inch 6K monitor with Thunderbolt 4.,3199.99,18,{}
20ecdad6-1441-c0e9-1f3c-e856abfbff42,2357a40d64d30c2f33964abb5086bae3afdd7063ae40e1067dec198d905f4433,a9590b19-ab4c-1858-a18f-aa9969a878da,Dell S2725HS,dell-dell-s2725hs,27-inch Full HD monitor with built-in speakers.,199.99,93,{}
