id,product_hash,category_id,name,slug,description,price,available_item_count,metadata_json
1c875bac-0ee5-ad7b-a778-1f7c0ec4614b,7517daaadeabda20dcc43697528b08b460e604c9b18c1667ce9a87055d14369a,f2c6b208-f0fc-139b-d9a0-ae354dc49a0c,Haier BCD-500W French Door Refrigerator,haier-haier-bcd-500w-french-door-refrigerator,500L French door refrigerator with smart inverter compressor.,5999.0,386,{}
6a335ede-e829-acd6-03c1-c6c6cccbbd20,ad4c45e87575a38b2f8b9b7f725ed930c401d9e9e189b634f6db149be20abed7,f2c6b208-f0fc-139b-d9a0-ae354dc49a0c,Haier BCD-450W Bottom Freezer,haier-haier-bcd-450w-bottom-freezer,450L bottom freezer with air-cooled no-frost system.,3999.0,331,{}
f0263628-559e-8a9d-2669-6123f6c8fce4,07bc21631fc56f51e9f030c5fae13fa745637047caaee88fa0247202e98a147f,f2c6b208-f0fc-139b-d9a0-ae354dc49a0c,Haier BCD-650W Side-by-Side,haier-haier-bcd-650w-side-by-side,650L side-by-side refrigerator with water dispenser.,7999.0,224,{}
1d1359b5-f0f4-3726-6891-8b09cdd424eb,f440956f729ade6d2b88e2963f03540dd370eebfe9286059d0f146363317e4e6,f2c6b208-f0fc-139b-d9a0-ae354dc49a0c,Haier BCD-328W Mini Fridge,haier-haier-bcd-328w-mini-fridge,328L compact refrigerator for small kitchens.,1499.0,246,{}
10e8eb73-8877-7229-937c-1b82f5dd8852,1ee7d2192b7464a0b91046d188f1134eb32546571a32c4197622d50a7a344c4f,f2c6b208-f0fc-139b-d9a0-ae354dc49a0c,Haier BCD-550W Smart Refrigerator,haier-haier-bcd-550w-smart-refrigerator,Smart refrigerator with AI food management and large touchscreen.,8999.0,80,{}
881e1270-2abb-7f23-bb61-467cc4c66653,0a99c7e4fc69058f7c1304bdd218f47081847db1754fe3b2a7c831d40e561146,f2c6b208-f0fc-139b-d9a0-ae354dc49a0c,Haier BCD-260W Two-Door,haier-haier-bcd-260w-two-door,"260L two-door refrigerator, energy efficient.",1999.0,77,{}
3c7ed991-b0b1-010c-9aec-1b18311432b9,c72bbbab3dc180860356713e2aa69e31b9bbf91bcf35717a3a8009a8fcac5d9e,fffbc417-b4e5-0acf-bff8-d220dd1f2d56,Haier XQG100-BD14126L,haier-haier-xqg100-bd14126l,10kg front load washer with steam and auto-dosing.,4999.0,310,{}
b19ead8e-fb66-83f6-6cec-f4e18ee6253f,3aaa8c07b49f7aa5f7b7d31b8be14b8209dd7c41b223e5027e2da944f2945c78,fffbc417-b4e5-0acf-bff8-d220dd1f2d56,Haier XQB80-M1336 Top Load,haier-haier-xqb80-m1336-top-load,8kg top load washer with twin power wash.,1999.0,378,{}
f6baa994-1bea-8042-3ff2-9fed2d8fa053,5191e4fab287900d0a9984b5166dabd9178347f097eed3e63be82c6cd8107b4e,fffbc417-b4e5-0acf-bff8-d220dd1f2d56,Haier XQG90-BD1426 Washer Dryer,haier-haier-xqg90-bd1426-washer-dryer,9kg washer dryer combo with heat pump drying.,6999.0,350,{}
59e85eba-bfe8-3dbb-fb96-2c3a694ed3be,d64d3b2ad94010355be11a2a0fe54f68db85f63ab5e5cd48e7f7727e0f4d1130,fffbc417-b4e5-0acf-bff8-d220dd1f2d56,Haier Mini Washer 3kg,haier-haier-mini-washer-3kg,Compact 3kg mini washer for delicates and baby clothes.,999.0,186,{}
d652eb27-c010-7972-3c9b-5b0c221f830a,08ce9205c18b74aab1f1f1c4d4f15c9fffef146a73fb7f20556e230b6b75abe1,fffbc417-b4e5-0acf-bff8-d220dd1f2d56,Haier XQB100-BF228,haier-haier-xqb100-bf228,10kg top load with direct drive motor.,2999.0,431,{}
7bc8a924-5324-b010-ba8c-ff477dfd4f3b,eaaaf2013fdf6902a9f80a71e586be4885b4324039c1dfc0f85820763df45ac9,f456dda3-4c15-0aaf-77ea-422628cab4ef,Haier KFR-35GW Split AC 1.5HP,haier-haier-kfr-35gw-split-ac-15hp,1.5HP inverter split AC with self-cleaning.,2999.0,490,{}
33af56a5-c733-cc10-4621-4929d1345d33,edec24ee4642a79733e549232518295685199f41c3e1c721ceb2eb9b646d43df,f456dda3-4c15-0aaf-77ea-422628cab4ef,Haier KFR-50LW Cabinet AC 2HP,haier-haier-kfr-50lw-cabinet-ac-2hp,2HP floor-standing AC with 3D airflow.,4999.0,414,{}
08ea3980-deec-587b-c2f4-868fd93b469f,d95d79e1ec2a40aa79cf7c992088b3eef5d90cb8ce443e129559a492ea10c1c1,f456dda3-4c15-0aaf-77ea-422628cab4ef,Haier KFR-72LW Premium AC 3HP,haier-haier-kfr-72lw-premium-ac-3hp,3HP premium AC with air purification.,7999.0,211,{}
71b6f3c5-9c3f-5121-5eab-c7661b4dc8aa,4caa3deb6db6b6aead0f3085a01689755a18312054a5df0cdad916348eba0bcd,f456dda3-4c15-0aaf-77ea-422628cab4ef,Haier KFR-26GW Bedroom AC 1HP,haier-haier-kfr-26gw-bedroom-ac-1hp,1HP ultra-quiet AC ideal for bedrooms.,2299.0,498,{}
65dd65a4-4548-28f9-b0a0-52bc1b444247,3899aec802db2651f51f1f24ad481b36382cb77eb3ac2a1651b078d7206a9775,f456dda3-4c15-0aaf-77ea-422628cab4ef,Haier Multi-Split AC System,haier-haier-multi-split-ac-system,Multi-zone AC system for whole home.,12999.0,84,{}
9f40b5d5-a20b-cb2a-a7ce-e3e87d17f92a,567bffc2bbc42a763ad4edf6855ff41c41b20f0ff8f2b375a4436dba205d39e7,f456dda3-4c15-0aaf-77ea-422628cab4ef,Haier Portable AC 12000BTU,haier-haier-portable-ac-12000btu,Portable air conditioner with remote control.,2499.0,86,{}
e8cd0b36-1cf4-af43-a0a4-4ace114438b5,3c674f13bb74af79e3ad6dcdc59564a9c20200bfef0d62b43342dc7a1e41f47c,82ebe1b7-7155-7136-fb77-44dc8e21f20f,Haier ES60H Electric Water Heater,haier-haier-es60h-electric-water-heater,60L electric storage water heater.,1299.0,454,{}
d8135789-a455-8e64-4a85-c45348444365,f37cf32a2d2b4c23c8fdff17be7672db9ab96598ff805e761a1fe930073ef53c,82ebe1b7-7155-7136-fb77-44dc8e21f20f,Haier JSQ25 Gas Water Heater,haier-haier-jsq25-gas-water-heater,13L gas instant water heater with constant temperature.,1999.0,47,{}
6a4a5e43-faa5-9c20-774d-b0fcfeebba06,d0966e06a83b023110ff457fa9694a0ede07f27f14143611c3b55f0efd6a5506,82ebe1b7-7155-7136-fb77-44dc8e21f20f,Haier ES80H Smart Water Heater,haier-haier-es80h-smart-water-heater,80L smart electric water heater with WiFi.,1999.0,393,{}
2df25151-669e-7cbc-50c2-b4e1e1b287ab,4f3afb6778a1fc76e14b1f814b9cf441be5ef92bf522bc6d8b2af300725a6bbd,82ebe1b7-7155-7136-fb77-44dc8e21f20f,Haier HP200L Heat Pump Water Heater,haier-haier-hp200l-heat-pump-water-heater,"200L heat pump water heater, energy saving.",8999.0,258,{}
88056b66-f3ee-adcb-36b0-eb78f2892cb7,ffed7c98dee15e31e164de0df8c223efd199a3aabf09cbbc2eba073701219bd0,82ebe1b7-7155-7136-fb77-44dc8e21f20f,Haier Solar Water Heater 200L,haier-haier-solar-water-heater-200l,200L solar water heater with electric backup.,5999.0,73,{}
090c6e29-cbbb-11ba-2c46-4ed665f761ee,b71ca0b9f37cfeaf2f1b1b8226f1a4671f74b34ff0e8f38fba5d97cad2ecf903,f6ea5a81-f17a-abb5-d62a-00c20dcfc3b9,Haier 75R9 4K Smart TV,haier-haier-75r9-4k-smart-tv,75-inch 4K smart TV with Dolby Vision and Atmos.,5999.0,163,{}
6b726083-c542-91e2-7b19-cd83b60a8f79,abedd96aed25e777a93c94341e2da0e1d753d9c7ef607b44d0298ceb499da2f7,f6ea5a81-f17a-abb5-d62a-00c20dcfc3b9,Haier 65S9 QLED TV,haier-haier-65s9-qled-tv,65-inch QLED TV with 120Hz refresh rate.,3999.0,311,{}
6e92a874-f343-422c-12b0-41cd9eeeb7af,9d2546f10504becfe1afc0a4003cd2e76d9794c362dbb067079bd68b0b50e02e,f6ea5a81-f17a-abb5-d62a-00c20dcfc3b9,Haier 55A8 4K TV,haier-haier-55a8-4k-tv,55-inch 4K Android TV with voice control.,2499.0,380,{}
c328c6f6-9805-3e73-32b8-06b8175c4429,18a1cd7852ecfd072d0cf20f322acab15319be771022c016bbf2ef35e50dcec7,f6ea5a81-f17a-abb5-d62a-00c20dcfc3b9,Haier 43E8 LED TV,haier-haier-43e8-led-tv,43-inch Full HD smart LED TV.,1499.0,223,{}
0d7f690a-d864-745f-f4a3-b6a25add9886,2fd6e16589e77d14c35850b9aecaffc1c56aafcd59043cf090cf18d6c2d67a84,f6ea5a81-f17a-abb5-d62a-00c20dcfc3b9,Haier 85U9 Mini-LED TV,haier-haier-85u9-mini-led-tv,85-inch Mini-LED TV with 144Hz gaming mode.,9999.0,241,{}
1a93e7fb-6044-4cf4-4b04-684097ea68c8,621a2aab532ebb1e3744ff4e82b27cf1e22670ee49d0ffe63d982535aca28eb1,5535b1e8-3dc0-73b0-fcdb-93ba2f415c9b,Haier Built-in Oven 60L,haier-haier-built-in-oven-60l,60L built-in electric oven with steam function.,3999.0,26,{}
bb6514b9-3c84-dd32-fe14-4cdd68b19535,fb26d9981ecd2d21eb081af9bab71f7c66b55466f3b05cc30102ba36c8632812,5535b1e8-3dc0-73b0-fcdb-93ba2f415c9b,Haier Dishwasher 14 Place Settings,haier-haier-dishwasher-14-place-settings,Built-in dishwasher with auto door opening.,4999.0,96,{}
da14dee0-49e8-a788-dca3-9785045a4b57,962865a756e931b306cef5ed42a34de0efd452db8f67e086d519aacbe34d25f7,5535b1e8-3dc0-73b0-fcdb-93ba2f415c9b,Haier Induction Cooktop,haier-haier-induction-cooktop,4-zone induction cooktop with touch controls.,1999.0,304,{}
c9a63687-a26f-e89b-cb1e-282da370ba01,81d0b7fa47805e822c07283038d966075f7ef307b0be7cc405c3f24598172503,5535b1e8-3dc0-73b0-fcdb-93ba2f415c9b,Haier Range Hood,haier-haier-range-hood,Powerful range hood with gesture control.,2499.0,292,{}
0dd893b3-ab5f-2115-f743-0f100f810bc7,3c38250db1790317042a680ad143e114b0c628e1d99f9adc424710fd7a3601e1,5535b1e8-3dc0-73b0-fcdb-93ba2f415c9b,Haier Microwave Oven 25L,haier-haier-microwave-oven-25l,25L microwave with smart cooking presets.,899.0,141,{}
c56c10fd-900e-ea15-8668-7c8e7377622c,cf4dad0cd8b4ef218c28527f3a1ffb2dddb347b173d6d5df132a0424c1607352,3cacbb74-5634-f0b7-ab20-0ee55d88373c,Haier Robot Vacuum,haier-haier-robot-vacuum,Smart robot vacuum with LiDAR navigation.,2499.0,372,{}
99e931bd-846a-74f0-24b7-71cc8db5eee9,42f5b03c898a723c2f911edab9fd6b09506d177c5c6f4e6bd5ab2628af96fdab,3cacbb74-5634-f0b7-ab20-0ee55d88373c,Haier Air Fryer 5.5L,haier-haier-air-fryer-55l,5.5L air fryer with digital touch screen.,599.0,103,{}
9c8783c6-647d-2d0e-9c30-0b6c11518644,fdf2a363856405f4b84ed2034372b760382d38a19a597357f083b0443976f684,3cacbb74-5634-f0b7-ab20-0ee55d88373c,Haier Cordless Vacuum Cleaner,haier-haier-cordless-vacuum-cleaner,Lightweight cordless stick vacuum.,1499.0,240,{}
