id,product_hash,category_id,name,slug,description,price,available_item_count,metadata_json
4e9d181a-c148-b52d-c35c-eef6cc684ad2,68256a865f1c6e2ded700e526415be2bc827eeeacad11fe6f0822941447a5b95,32b8c092-b2f7-8060-ef6e-cdbfc64e789c,Skechers Aero Burst,skechers-skechers-aero-burst,+3                                                                                   Skechers Aero Burst                                                                                                                                                   Men's                                            ,155.0,33,"{""brand"": ""Skechers""}"
f3618049-7224-dc06-e391-b524e830bbc9,a95150d0b449007c5d37bc507589eaac7a96d69c0b2599fe7e14b8bf05e86476,32b8c092-b2f7-8060-ef6e-cdbfc64e789c,Skechers Slip-ins: Arch Fit D'Lites 330,skechers-skechers-slip-ins-arch-fit-dlites-330,Exclusive                                                                                                                                                                                                                                                                                                   ,130.0,59,"{""brand"": ""Skechers""}"
7e6aa5a0-8e19-6c36-2af8-a849a6dcebf3,abd755a755dd3c70b20e43b7ba13c07ff1e51ef8f0c90679d06edcff42fde1b1,32b8c092-b2f7-8060-ef6e-cdbfc64e789c,Skechers Slip-ins: Arch Fit D'Lites 330 - Modern Retro Jogger,skechers-skechers-slip-ins-arch-fit-dlites-330---modern-retro-jogger,Exclusive                                                                                                                                                                                                                                                                                                   ,125.0,141,"{""brand"": ""Skechers""}"
3eabf204-41e6-72c4-38e6-6d29732e1342,461d292f893346cd64dc1c96bd5fdd0bd13a342f2cedd988759904370807195d,32b8c092-b2f7-8060-ef6e-cdbfc64e789c,Skechers Slip-ins: Arch Fit D'Lites 330 - Flagsway,skechers-skechers-slip-ins-arch-fit-dlites-330---flagsway,Exclusive                                                                                                                                                                                                                                                                                                   ,125.0,218,"{""brand"": ""Skechers""}"
c854c5bd-65b5-c607-f880-af8b655434d6,dbba9f65dc57e8134603dbc876f52ce1494d302ba4c70acb0ada0d20d0277f78,32b8c092-b2f7-8060-ef6e-cdbfc64e789c,Skechers Slip-ins: Contour Foam - Cozy Fit America,skechers-skechers-slip-ins-contour-foam---cozy-fit-america,Skechers Slip-ins: Contour Foam - Cozy Fit America                                                                                                                                                   Men's                                                                                                  ,95.0,309,"{""brand"": ""Skechers""}"
84230dc3-9c6c-cec5-ebf6-070aeb86cc8f,2bea51f6519e12da289f9a690c1fb1274d634f4c08d9f0ead8db820a751c760c,32b8c092-b2f7-8060-ef6e-cdbfc64e789c,Skechers Slip-ins Britto: UNO - Britto Landscape,skechers-skechers-slip-ins-britto-uno---britto-landscape,Skechers Slip-ins Britto: UNO - Britto Landscape                                                                                                                                                   Men's                                                                                                    ,90.0,199,"{""brand"": ""Skechers""}"
4c8ee5c7-5ac4-81f2-7f0b-2c0a0e1b690a,11905294d82ebcedc0f0461d5da7b7250bc357ced0803b3a6d39cfb5f0e805ab,32b8c092-b2f7-8060-ef6e-cdbfc64e789c,Britto: S-1992 - Britto Landscape,skechers-britto-s-1992---britto-landscape,Britto: S-1992 - Britto Landscape                                                                                                                                                   Men's                                                                                                                   ,85.0,368,"{""brand"": ""Skechers""}"
56587a0c-986c-6a56-8d60-7777b18a5c24,8ad3d7cb62b8bf836b11b9a8e365af145ee65fe69d22d39a49e9139b083ed1ed,32b8c092-b2f7-8060-ef6e-cdbfc64e789c,Britto: S-1992 - Britto Landscapes,skechers-britto-s-1992---britto-landscapes,Britto: S-1992 - Britto Landscapes                                                                                                                                                   Men's                                                                                                                  ,85.0,327,"{""brand"": ""Skechers""}"
40385f4b-7560-2526-1937-80704f6d9a3d,9b92a2a5e3475be9c421d0d155bbd003eae4db9ed7133fba78fee0b1c72c0a8c,32b8c092-b2f7-8060-ef6e-cdbfc64e789c,Skechers Slip-ins: Contour Foam - Cozy Fit Ohtro,skechers-skechers-slip-ins-contour-foam---cozy-fit-ohtro,Skechers Slip-ins: Contour Foam - Cozy Fit Ohtro                                                                                                                                                   Men's                                                                                                    ,88.0,62,"{""brand"": ""Skechers""}"
f164ae37-956e-e288-88bd-1765ed8f3bee,d0f2a57d5cd33b224847c5331e32cd3449ca5834bb37fc99fe9fadd91e90b07c,32b8c092-b2f7-8060-ef6e-cdbfc64e789c,Skechers Slip-ins: Contour Foam - Cozy Fit Kiroh,skechers-skechers-slip-ins-contour-foam---cozy-fit-kiroh,Skechers Slip-ins: Contour Foam - Cozy Fit Kiroh                                                                                                                                                   Men's                                                                                                    ,88.0,101,"{""brand"": ""Skechers""}"
